<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
02.01.2018,09:45:00,170.160,170.350,169.260,170.350,3071271,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:00:00,170.335,171.070,170.335,170.980,2044872,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:15:00,170.970,171.375,170.860,171.150,1262213,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:30:00,171.140,171.580,171.090,171.560,1008559,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:45:00,171.540,171.600,171.320,171.393,895807,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:00:00,171.400,171.540,171.210,171.505,837864,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:15:00,171.500,171.530,171.230,171.370,628015,171.370,171.370,171.408,0.00,0.00,0.00,0.00
02.01.2018,11:30:00,171.360,171.500,171.170,171.277,773550,171.363,171.351,171.363,-0.01,-0.00,-0.01,0.00
02.01.2018,11:45:00,171.275,171.340,171.100,171.210,548668,171.352,171.323,171.326,-0.02,-0.00,-0.01,0.00
02.01.2018,12:00:00,171.210,171.330,171.140,171.210,462043,171.341,171.300,171.306,-0.03,-0.01,-0.02,0.00
02.01.2018,12:15:00,171.205,171.450,171.190,171.410,409930,171.346,171.322,171.307,-0.02,-0.01,-0.01,0.00
02.01.2018,12:30:00,171.420,171.500,171.300,171.370,507557,171.348,171.332,171.321,-0.01,-0.01,-0.00,0.00
02.01.2018,12:45:00,171.362,171.400,171.220,171.270,332171,171.342,171.320,171.320,-0.02,-0.01,-0.00,0.00
02.01.2018,13:00:00,171.280,171.410,171.220,171.280,294221,171.338,171.312,171.319,-0.02,-0.01,-0.01,0.00
02.01.2018,13:15:00,171.290,171.580,171.284,171.520,449584,171.351,171.353,171.418,-0.00,-0.01,0.01,0.00
02.01.2018,13:30:00,171.530,171.590,171.410,171.540,391040,171.365,171.391,171.465,0.01,-0.01,0.02,0.00
02.01.2018,13:45:00,171.535,171.680,171.490,171.645,471507,171.386,171.442,171.509,0.03,0.00,0.03,0.00
02.01.2018,14:00:00,171.660,171.700,171.540,171.689,391707,171.408,171.491,171.541,0.05,0.01,0.04,0.00
02.01.2018,14:15:00,171.680,172.110,171.660,172.060,924299,171.457,171.605,171.878,0.10,0.03,0.07,0.00
02.01.2018,14:30:00,172.080,172.110,171.860,171.910,678498,171.490,171.666,171.925,0.12,0.05,0.07,0.00
02.01.2018,14:45:00,171.900,172.090,171.900,172.000,477430,171.528,171.733,171.936,0.14,0.07,0.08,0.00
02.01.2018,15:00:00,172.000,172.015,171.960,171.980,370700,171.561,171.782,171.944,0.15,0.08,0.07,0.00
02.01.2018,15:15:00,171.980,171.990,171.820,171.910,496628,171.587,171.808,171.941,0.16,0.10,0.06,0.00
02.01.2018,15:30:00,171.910,171.920,171.700,171.850,545170,171.607,171.816,171.926,0.16,0.11,0.05,0.00
02.01.2018,15:45:00,171.860,172.070,171.834,172.060,581675,171.640,171.865,171.930,0.17,0.12,0.05,0.00
02.01.2018,16:00:00,172.050,172.300,171.950,172.260,1679154,171.686,171.944,171.991,0.19,0.14,0.06,0.00
03.01.2018,09:45:00,172.520,173.350,172.180,173.200,2438908,171.798,172.195,172.813,0.28,0.16,0.12,0.00
03.01.2018,10:00:00,173.200,173.900,172.820,173.865,1517772,171.951,172.529,173.056,0.40,0.21,0.19,0.00
03.01.2018,10:15:00,173.890,174.410,173.760,174.075,1557757,172.109,172.838,173.332,0.51,0.27,0.24,0.00
03.01.2018,10:30:00,174.070,174.090,173.780,174.030,958935,172.251,173.077,173.430,0.59,0.34,0.25,0.00
03.01.2018,10:45:00,174.040,174.550,173.900,174.495,1095260,172.417,173.360,173.548,0.67,0.40,0.27,0.00
03.01.2018,11:00:00,174.500,174.550,174.080,174.150,797236,172.546,173.518,173.622,0.71,0.46,0.24,0.00
03.01.2018,11:15:00,174.160,174.290,174.050,174.190,763846,172.667,173.653,173.668,0.73,0.52,0.21,0.00
03.01.2018,11:30:00,174.200,174.245,173.940,173.960,574901,172.763,173.714,173.692,0.72,0.56,0.16,0.00
03.01.2018,11:45:00,173.960,173.970,173.500,173.500,934620,172.818,173.671,173.696,0.67,0.58,0.09,0.00
03.01.2018,12:00:00,173.500,173.730,173.500,173.660,576868,172.880,173.669,173.691,0.63,0.59,0.04,0.00
03.01.2018,12:15:00,173.670,173.730,173.452,173.590,445264,172.933,173.653,173.688,0.59,0.59,0.00,0.00
03.01.2018,12:30:00,173.581,173.595,173.410,173.490,405946,172.974,173.621,173.682,0.55,0.58,-0.04,0.00
03.01.2018,12:45:00,173.495,173.520,173.315,173.453,571401,173.009,173.587,173.671,0.50,0.57,-0.07,0.00
03.01.2018,13:00:00,173.460,173.520,173.220,173.320,633198,173.032,173.534,173.658,0.45,0.54,-0.09,0.00
03.01.2018,13:15:00,173.330,173.340,173.090,173.270,495841,173.050,173.481,173.257,0.40,0.51,-0.12,0.00
03.01.2018,13:30:00,173.265,173.490,173.260,173.370,390569,173.074,173.459,173.297,0.36,0.48,-0.12,0.00
03.01.2018,13:45:00,173.370,173.395,173.030,173.090,437369,173.075,173.385,173.272,0.31,0.45,-0.14,0.00
03.01.2018,14:00:00,173.090,173.130,172.930,172.972,510314,173.067,173.302,173.205,0.25,0.41,-0.16,0.00
03.01.2018,14:15:00,172.980,173.030,172.820,172.960,469790,173.059,173.234,172.947,0.20,0.37,-0.16,0.00
03.01.2018,14:30:00,172.960,173.085,172.770,172.873,647151,173.046,173.162,172.933,0.16,0.33,-0.17,0.00
03.01.2018,14:45:00,172.877,172.900,172.610,172.840,597386,173.030,173.097,172.889,0.12,0.28,-0.17,0.00
