<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
02.01.2018,09:45:00,10.420,10.580,10.340,10.540,3369729,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:00:00,10.540,10.590,10.520,10.570,2221770,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:15:00,10.570,10.660,10.570,10.600,2137518,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:30:00,10.605,10.660,10.600,10.650,1380807,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:45:00,10.640,10.690,10.630,10.680,1616446,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:00:00,10.680,10.770,10.670,10.770,1554965,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:15:00,10.770,10.830,10.750,10.828,1608898,10.828,10.828,10.794,0.00,0.00,0.00,0.00
02.01.2018,11:30:00,10.830,10.830,10.760,10.790,1351230,10.825,10.820,10.798,-0.00,-0.00,-0.00,0.00
02.01.2018,11:45:00,10.790,10.800,10.760,10.785,1177769,10.822,10.813,10.794,-0.01,-0.00,-0.00,0.00
02.01.2018,12:00:00,10.785,10.850,10.780,10.839,1319336,10.823,10.818,10.799,-0.00,-0.00,-0.00,0.00
02.01.2018,12:15:00,10.830,10.900,10.830,10.900,1215278,10.829,10.835,10.811,0.00,-0.00,0.00,0.00
02.01.2018,12:30:00,10.895,10.900,10.830,10.879,1097135,10.833,10.844,10.820,0.01,0.00,0.01,0.00
02.01.2018,12:45:00,10.872,10.880,10.850,10.875,1151991,10.836,10.850,10.826,0.01,0.00,0.01,0.00
02.01.2018,13:00:00,10.880,10.920,10.870,10.891,1143648,10.840,10.858,10.834,0.01,0.00,0.01,0.00
02.01.2018,13:15:00,10.900,10.910,10.860,10.900,761385,10.844,10.866,10.893,0.01,0.01,0.01,0.00
02.01.2018,13:30:00,10.900,10.920,10.890,10.920,1138586,10.850,10.877,10.901,0.02,0.01,0.01,0.00
02.01.2018,13:45:00,10.920,10.950,10.910,10.935,1071103,10.856,10.889,10.911,0.02,0.01,0.01,0.00
02.01.2018,14:00:00,10.940,10.950,10.910,10.944,747744,10.863,10.900,10.916,0.03,0.01,0.01,0.00
02.01.2018,14:15:00,10.950,10.980,10.940,10.965,1076069,10.870,10.913,10.959,0.03,0.02,0.01,0.00
02.01.2018,14:30:00,10.960,10.970,10.910,10.920,718676,10.874,10.914,10.951,0.03,0.02,0.01,0.00
02.01.2018,14:45:00,10.920,10.940,10.910,10.920,1036483,10.877,10.915,10.941,0.03,0.02,0.01,0.00
02.01.2018,15:00:00,10.925,10.940,10.910,10.920,816899,10.881,10.916,10.937,0.03,0.02,0.00,0.00
02.01.2018,15:15:00,10.920,10.930,10.890,10.903,744032,10.882,10.914,10.932,0.03,0.02,0.00,0.00
02.01.2018,15:30:00,10.906,10.950,10.890,10.945,1390398,10.887,10.920,10.930,0.03,0.02,0.00,0.00
02.01.2018,15:45:00,10.945,10.990,10.940,10.970,2046108,10.893,10.930,10.938,0.03,0.02,0.00,0.00
02.01.2018,16:00:00,10.970,11.020,10.960,10.990,5637762,10.900,10.942,10.958,0.03,0.03,0.01,0.00
03.01.2018,09:45:00,11.590,11.780,11.170,11.531,16381758,10.947,11.060,11.518,0.08,0.04,0.04,0.00
03.01.2018,10:00:00,11.535,11.670,11.530,11.655,6051078,10.999,11.179,11.539,0.12,0.05,0.07,0.00
03.01.2018,10:15:00,11.650,11.690,11.620,11.649,3933476,11.048,11.273,11.556,0.16,0.07,0.08,0.00
03.01.2018,10:30:00,11.640,11.650,11.570,11.605,3225985,11.089,11.339,11.563,0.18,0.09,0.08,0.00
03.01.2018,10:45:00,11.600,11.640,11.570,11.590,3295953,11.126,11.389,11.566,0.19,0.11,0.08,0.00
03.01.2018,11:00:00,11.587,11.660,11.570,11.660,4657958,11.166,11.444,11.573,0.20,0.13,0.07,0.00
03.01.2018,11:15:00,11.660,11.730,11.650,11.730,3499485,11.207,11.501,11.583,0.22,0.15,0.07,0.00
03.01.2018,11:30:00,11.725,11.740,11.710,11.735,2324444,11.246,11.548,11.591,0.22,0.16,0.06,0.00
03.01.2018,11:45:00,11.735,11.780,11.730,11.775,2878532,11.286,11.593,11.601,0.23,0.18,0.06,0.00
03.01.2018,12:00:00,11.775,11.780,11.720,11.760,2116611,11.321,11.627,11.608,0.23,0.19,0.05,0.00
03.01.2018,12:15:00,11.755,11.830,11.750,11.790,3634532,11.355,11.659,11.620,0.24,0.20,0.04,0.00
03.01.2018,12:30:00,11.790,11.840,11.770,11.835,2214197,11.391,11.694,11.628,0.24,0.21,0.03,0.00
03.01.2018,12:45:00,11.835,11.900,11.830,11.897,3465334,11.428,11.735,11.642,0.24,0.21,0.03,0.00
03.01.2018,13:00:00,11.895,11.950,11.880,11.894,3909168,11.463,11.767,11.659,0.24,0.22,0.02,0.00
03.01.2018,13:15:00,11.896,11.910,11.810,11.869,3014021,11.493,11.787,11.871,0.24,0.22,0.01,0.00
03.01.2018,13:30:00,11.865,11.890,11.850,11.890,1778906,11.522,11.808,11.872,0.23,0.22,0.01,0.00
03.01.2018,13:45:00,11.885,11.970,11.880,11.940,2919466,11.553,11.834,11.890,0.23,0.23,0.00,0.00
03.01.2018,14:00:00,11.949,11.990,11.920,11.985,3413375,11.585,11.864,11.912,0.23,0.23,0.00,0.00
03.01.2018,14:15:00,11.985,12.000,11.950,11.995,2575924,11.616,11.890,11.983,0.23,0.23,0.00,0.00
03.01.2018,14:30:00,12.000,12.000,11.960,11.990,2023060,11.643,11.910,11.985,0.22,0.23,-0.00,0.00
03.01.2018,14:45:00,11.985,12.140,11.980,12.136,6729849,11.680,11.956,12.030,0.23,0.23,0.00,0.00
03.01.2018,15:00:00,12.132,12.140,12.070,12.095,4241297,11.711,11.983,12.051,0.22,0.23,-0.00,0.00
03.01.2018,15:15:00,12.093,12.100,11.600,11.680,16022143,11.708,11.923,11.958,0.19,0.22,-0.03,0.00
03.01.2018,15:30:00,11.680,11.760,11.560,11.625,6449787,11.702,11.863,11.907,0.15,0.20,-0.05,0.00
