<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
02.01.2018,09:45:00,195.570,196.690,194.500,195.795,1102680,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:00:00,195.696,196.300,195.330,196.100,390461,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:15:00,196.170,196.950,196.120,196.410,391136,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:30:00,196.440,197.520,196.400,197.150,437713,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:45:00,197.230,197.740,197.100,197.360,266052,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:00:00,197.470,197.890,197.170,197.825,269194,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:15:00,197.830,198.000,197.536,197.950,231683,197.950,197.950,197.829,0.00,0.00,0.00,0.00
02.01.2018,11:30:00,197.930,198.175,197.340,197.730,307266,197.934,197.906,197.809,-0.02,-0.00,-0.01,0.00
02.01.2018,11:45:00,197.722,197.790,197.440,197.643,145315,197.912,197.853,197.775,-0.04,-0.01,-0.03,0.00
02.01.2018,12:00:00,197.640,198.030,197.580,197.750,168659,197.900,197.833,197.770,-0.05,-0.02,-0.03,0.00
02.01.2018,12:15:00,197.740,197.950,197.500,197.600,131501,197.878,197.786,197.760,-0.06,-0.03,-0.04,0.00
02.01.2018,12:30:00,197.620,198.340,197.620,197.940,246249,197.883,197.817,197.784,-0.05,-0.03,-0.02,0.00
02.01.2018,12:45:00,197.923,197.950,197.550,197.740,83313,197.872,197.802,197.785,-0.05,-0.03,-0.02,0.00
02.01.2018,13:00:00,197.720,198.080,197.626,197.879,97681,197.872,197.817,197.788,-0.04,-0.04,-0.01,0.00
02.01.2018,13:15:00,197.860,197.930,197.610,197.800,57545,197.867,197.814,197.800,-0.04,-0.04,-0.00,0.00
02.01.2018,13:30:00,197.776,197.781,197.420,197.640,84321,197.850,197.779,197.713,-0.05,-0.04,-0.01,0.00
02.01.2018,13:45:00,197.605,197.800,197.540,197.640,103995,197.835,197.751,197.685,-0.06,-0.05,-0.02,0.00
02.01.2018,14:00:00,197.670,197.790,197.490,197.690,85464,197.824,197.739,197.679,-0.06,-0.05,-0.02,0.00
02.01.2018,14:15:00,197.720,198.360,197.660,198.240,223006,197.855,197.839,197.995,-0.02,-0.04,0.02,0.00
02.01.2018,14:30:00,198.255,198.272,197.790,197.790,119434,197.850,197.829,198.006,-0.02,-0.04,0.02,0.00
02.01.2018,14:45:00,197.870,198.130,197.820,197.990,132221,197.860,197.861,197.991,-0.01,-0.03,0.02,0.00
02.01.2018,15:00:00,198.020,198.250,197.900,197.985,109714,197.870,197.886,198.000,0.00,-0.03,0.03,0.00
02.01.2018,15:15:00,197.990,198.210,197.920,198.070,108095,197.884,197.923,198.007,0.02,-0.02,0.04,0.00
02.01.2018,15:30:00,198.061,198.520,197.980,198.410,196151,197.923,198.020,198.059,0.06,-0.00,0.06,0.00
02.01.2018,15:45:00,198.380,199.020,198.380,198.860,333114,197.993,198.188,198.223,0.12,0.02,0.10,0.00
02.01.2018,16:00:00,198.880,199.500,198.760,199.300,617749,198.090,198.411,198.521,0.21,0.06,0.15,0.00
03.01.2018,09:45:00,203.980,207.260,203.750,206.140,2684396,198.686,199.956,205.283,0.82,0.21,0.61,0.00
03.01.2018,10:00:00,206.180,207.550,205.900,207.290,1260120,199.323,201.423,205.745,1.38,0.45,0.93,0.00
03.01.2018,10:15:00,207.340,208.000,206.900,207.910,1097694,199.959,202.721,206.135,1.85,0.73,1.13,0.00
03.01.2018,10:30:00,207.895,208.000,206.980,207.920,642940,200.549,203.760,206.312,2.20,1.02,1.18,0.00
03.01.2018,10:45:00,207.890,208.880,207.860,208.773,925615,201.158,204.763,206.597,2.52,1.32,1.20,0.00
03.01.2018,11:00:00,208.770,209.550,208.440,209.506,734928,201.777,205.712,206.844,2.80,1.62,1.18,0.00
03.01.2018,11:15:00,209.490,209.950,209.110,209.580,614522,202.355,206.485,207.052,2.99,1.89,1.10,0.00
03.01.2018,11:30:00,209.580,209.900,209.190,209.450,561980,202.880,207.078,207.215,3.10,2.13,0.96,0.00
03.01.2018,11:45:00,209.450,209.550,208.560,208.680,520572,203.310,207.399,207.322,3.08,2.32,0.76,0.00
03.01.2018,12:00:00,208.675,209.170,208.460,209.132,383943,203.741,207.745,207.384,3.07,2.47,0.60,0.00
03.01.2018,12:15:00,209.110,209.685,209.060,209.530,397621,204.170,208.102,207.464,3.06,2.59,0.47,0.00
03.01.2018,12:30:00,209.510,209.990,209.254,209.880,342377,204.593,208.458,207.538,3.05,2.68,0.36,0.00
03.01.2018,12:45:00,209.940,211.300,209.730,211.040,890852,205.070,208.974,207.776,3.09,2.76,0.33,0.00
03.01.2018,13:00:00,211.070,211.990,210.924,211.190,662647,205.524,209.417,207.975,3.10,2.83,0.27,0.00
03.01.2018,13:15:00,211.230,211.400,210.530,210.750,424856,205.911,209.684,210.977,3.04,2.87,0.17,0.00
03.01.2018,13:30:00,210.750,210.910,210.440,210.704,354072,206.266,209.888,210.852,2.96,2.89,0.07,0.00
03.01.2018,13:45:00,210.720,211.500,210.680,211.040,459532,206.620,210.118,210.901,2.88,2.89,-0.01,0.00
03.01.2018,14:00:00,211.060,211.350,210.670,211.170,240763,206.957,210.329,210.927,2.80,2.87,-0.07,0.00
03.01.2018,14:15:00,211.180,211.750,211.060,211.606,389697,207.301,210.584,211.399,2.74,2.85,-0.10,0.00
03.01.2018,14:30:00,211.630,212.545,211.420,212.500,662348,207.686,210.967,211.792,2.74,2.82,-0.09,0.00
