<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
02.01.2018,09:45:00,312.18,316.25,311.00,315.71,363279,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.01.2018,10:00:00,315.62,317.71,315.50,317.33,310717,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.01.2018,10:15:00,317.32,318.40,317.22,317.85,286591,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.01.2018,10:30:00,317.89,318.87,317.15,317.35,170903,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.01.2018,10:45:00,317.42,317.78,316.40,316.88,124834,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.01.2018,11:00:00,316.80,318.35,316.80,318.05,139879,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.01.2018,11:15:00,318.03,319.99,317.75,319.73,179035,319.73,319.73,318.88,0.00,0.00,0.00,0.00
02.01.2018,11:30:00,319.82,320.78,319.58,320.78,234399,319.81,319.94,319.65,0.08,0.02,0.07,0.00
02.01.2018,11:45:00,320.76,322.11,319.88,320.44,194702,319.85,320.04,320.02,0.12,0.04,0.08,0.00
02.01.2018,12:00:00,320.40,320.75,319.92,320.52,81789,319.90,320.14,320.06,0.16,0.06,0.09,0.00
02.01.2018,12:15:00,320.52,321.23,320.11,320.85,67496,319.97,320.28,320.12,0.21,0.09,0.12,0.00
02.01.2018,12:30:00,320.85,320.95,319.43,319.71,84269,319.95,320.17,320.13,0.15,0.10,0.05,0.00
02.01.2018,12:45:00,319.84,319.84,318.84,319.30,78806,319.91,319.99,320.07,0.08,0.10,-0.02,0.00
02.01.2018,13:00:00,319.32,319.80,319.23,319.39,37939,319.87,319.87,320.05,0.03,0.08,-0.06,0.00
02.01.2018,13:15:00,319.42,319.67,319.18,319.18,32566,319.82,319.73,319.36,-0.03,0.06,-0.09,0.00
02.01.2018,13:30:00,319.30,320.00,319.08,319.25,71047,319.77,319.64,319.39,-0.07,0.03,-0.11,0.00
02.01.2018,13:45:00,319.18,319.78,319.15,319.78,36442,319.78,319.67,319.41,-0.06,0.01,-0.08,0.00
02.01.2018,14:00:00,319.78,319.93,319.21,319.72,29266,319.77,319.68,319.46,-0.06,0.00,-0.06,0.00
02.01.2018,14:15:00,319.65,321.02,319.48,320.77,115481,319.85,319.89,320.23,0.03,0.01,0.03,0.00
02.01.2018,14:30:00,320.73,321.03,320.35,320.88,64909,319.92,320.09,320.42,0.11,0.03,0.08,0.00
02.01.2018,14:45:00,320.90,321.57,320.78,320.90,59918,319.99,320.25,320.57,0.17,0.06,0.11,0.00
02.01.2018,15:00:00,320.87,320.98,320.28,320.44,58331,320.03,320.29,320.59,0.18,0.08,0.10,0.00
02.01.2018,15:15:00,320.44,320.87,320.22,320.60,53183,320.07,320.35,320.58,0.20,0.10,0.09,0.00
02.01.2018,15:30:00,320.58,320.64,320.00,320.09,84057,320.07,320.30,320.53,0.17,0.12,0.05,0.00
02.01.2018,15:45:00,320.09,320.32,319.77,320.03,93299,320.07,320.25,320.44,0.14,0.12,0.02,0.00
02.01.2018,16:00:00,320.02,320.97,319.92,320.29,269511,320.08,320.25,320.40,0.14,0.12,0.01,0.00
03.01.2018,09:45:00,321.00,322.66,319.60,320.50,368141,320.12,320.30,320.94,0.15,0.13,0.02,0.00
03.01.2018,10:00:00,320.50,324.87,320.01,324.81,291504,320.46,321.21,321.65,0.50,0.20,0.30,0.00
03.01.2018,10:15:00,324.70,325.25,322.50,322.74,203724,320.63,321.51,322.16,0.60,0.28,0.32,0.00
03.01.2018,10:30:00,322.67,323.29,321.67,322.13,148426,320.74,321.64,322.20,0.63,0.35,0.28,0.00
03.01.2018,10:45:00,322.15,323.88,322.11,323.36,88256,320.94,321.98,322.25,0.74,0.43,0.31,0.00
03.01.2018,11:00:00,323.49,323.58,322.09,322.61,103079,321.06,322.11,322.31,0.76,0.50,0.26,0.00
03.01.2018,11:15:00,322.70,322.77,321.10,321.94,89422,321.13,322.07,322.30,0.71,0.54,0.17,0.00
03.01.2018,11:30:00,321.73,322.10,320.07,320.96,172328,321.11,321.85,322.17,0.59,0.55,0.04,0.00
03.01.2018,11:45:00,320.90,321.15,319.81,320.24,96971,321.05,321.53,322.07,0.43,0.53,-0.10,0.00
03.01.2018,12:00:00,320.31,320.91,319.69,320.26,97254,320.99,321.27,321.97,0.30,0.48,-0.18,0.00
03.01.2018,12:15:00,320.14,320.53,319.29,319.80,51216,320.90,320.98,321.90,0.16,0.42,-0.26,0.00
03.01.2018,12:30:00,319.76,319.85,318.66,319.23,88683,320.78,320.63,321.78,0.00,0.33,-0.33,0.00
03.01.2018,12:45:00,319.27,320.61,319.00,320.31,95031,320.74,320.57,321.68,-0.04,0.26,-0.30,0.00
03.01.2018,13:00:00,320.28,321.40,320.00,320.15,70582,320.70,320.48,321.64,-0.08,0.19,-0.27,0.00
03.01.2018,13:15:00,320.24,320.62,319.70,319.84,40359,320.64,320.35,320.10,-0.13,0.13,-0.26,0.00
03.01.2018,13:30:00,319.90,320.09,319.51,319.55,40939,320.56,320.19,319.93,-0.20,0.06,-0.26,0.00
