<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
02.01.2018,09:45:00,53.160,53.350,52.920,52.960,895725,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:00:00,52.950,53.160,52.800,53.120,884034,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:15:00,53.125,53.260,53.035,53.240,435119,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:30:00,53.240,53.350,53.170,53.340,545240,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,10:45:00,53.340,53.480,53.290,53.460,417159,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:00:00,53.460,53.470,53.240,53.254,314059,0.000,0.000,0.000,0.00,0.00,0.00,0.00
02.01.2018,11:15:00,53.250,53.405,53.250,53.355,338872,53.355,53.355,53.315,0.00,0.00,0.00,0.00
02.01.2018,11:30:00,53.350,53.380,53.270,53.275,356402,53.349,53.339,53.317,-0.01,-0.00,-0.01,0.00
02.01.2018,11:45:00,53.275,53.315,53.250,53.280,290638,53.344,53.327,53.306,-0.01,-0.00,-0.01,0.00
02.01.2018,12:00:00,53.285,53.336,53.250,53.310,302587,53.341,53.324,53.304,-0.01,-0.00,-0.01,0.00
02.01.2018,12:15:00,53.315,53.345,53.265,53.312,255722,53.339,53.321,53.304,-0.01,-0.01,-0.01,0.00
02.01.2018,12:30:00,53.310,53.425,53.300,53.414,324144,53.345,53.340,53.314,-0.00,-0.01,0.00,0.00
02.01.2018,12:45:00,53.411,53.480,53.350,53.373,187925,53.347,53.347,53.323,-0.00,-0.01,0.00,0.00
02.01.2018,13:00:00,53.380,53.380,53.310,53.335,311655,53.346,53.344,53.326,-0.00,-0.00,0.00,0.00
02.01.2018,13:15:00,53.340,53.375,53.330,53.365,173317,53.347,53.348,53.353,-0.00,-0.00,0.00,0.00
02.01.2018,13:30:00,53.370,53.420,53.320,53.360,286020,53.348,53.351,53.362,0.00,-0.00,0.00,0.00
02.01.2018,13:45:00,53.350,53.400,53.340,53.344,292654,53.348,53.349,53.361,0.00,-0.00,0.00,0.00
02.01.2018,14:00:00,53.344,53.390,53.320,53.330,563038,53.347,53.345,53.354,-0.00,-0.00,0.00,0.00
02.01.2018,14:15:00,53.335,53.360,53.310,53.330,297161,53.345,53.342,53.334,-0.00,-0.00,-0.00,0.00
02.01.2018,14:30:00,53.330,53.420,53.330,53.400,248455,53.349,53.354,53.350,0.00,-0.00,0.00,0.00
02.01.2018,14:45:00,53.405,53.430,53.330,53.380,360036,53.352,53.359,53.365,0.00,-0.00,0.00,0.00
02.01.2018,15:00:00,53.381,53.420,53.335,53.400,358866,53.355,53.367,53.370,0.01,0.00,0.01,0.00
02.01.2018,15:15:00,53.400,53.430,53.290,53.310,416679,53.352,53.356,53.367,0.00,0.00,0.00,0.00
02.01.2018,15:30:00,53.310,53.350,53.265,53.325,393239,53.350,53.350,53.357,0.00,0.00,-0.00,0.00
02.01.2018,15:45:00,53.330,53.390,53.290,53.380,418497,53.352,53.356,53.355,0.00,0.00,0.00,0.00
02.01.2018,16:00:00,53.390,53.570,53.360,53.520,1392110,53.365,53.389,53.393,0.02,0.00,0.01,0.00
03.01.2018,09:45:00,53.300,53.340,52.920,53.160,1204099,53.349,53.343,53.180,-0.00,0.00,-0.01,0.00
03.01.2018,10:00:00,53.160,53.255,52.860,52.925,781485,53.318,53.259,53.129,-0.04,-0.00,-0.03,0.00
03.01.2018,10:15:00,52.930,53.050,52.800,52.889,821528,53.286,53.185,53.067,-0.07,-0.02,-0.05,0.00
03.01.2018,10:30:00,52.886,52.890,52.780,52.780,452107,53.249,53.104,53.035,-0.10,-0.03,-0.06,0.00
03.01.2018,10:45:00,52.785,52.850,52.600,52.650,602226,53.204,53.013,52.986,-0.13,-0.05,-0.08,0.00
03.01.2018,11:00:00,52.655,52.660,52.530,52.570,442199,53.157,52.925,52.946,-0.16,-0.07,-0.09,0.00
03.01.2018,11:15:00,52.570,52.575,52.440,52.550,531456,53.112,52.850,52.901,-0.18,-0.10,-0.09,0.00
03.01.2018,11:30:00,52.550,52.670,52.490,52.581,455088,53.073,52.796,52.873,-0.20,-0.12,-0.08,0.00
03.01.2018,11:45:00,52.586,52.620,52.470,52.474,451859,53.029,52.732,52.846,-0.21,-0.14,-0.08,0.00
03.01.2018,12:00:00,52.472,52.550,52.380,52.395,484262,52.982,52.664,52.816,-0.23,-0.15,-0.08,0.00
03.01.2018,12:15:00,52.395,52.480,52.374,52.400,468203,52.939,52.611,52.787,-0.24,-0.17,-0.07,0.00
03.01.2018,12:30:00,52.405,52.420,52.310,52.400,350800,52.899,52.569,52.767,-0.25,-0.19,-0.06,0.00
03.01.2018,12:45:00,52.395,52.420,52.305,52.365,407736,52.859,52.528,52.746,-0.25,-0.20,-0.05,0.00
03.01.2018,13:00:00,52.360,52.530,52.340,52.490,251180,52.832,52.521,52.735,-0.24,-0.21,-0.03,0.00
03.01.2018,13:15:00,52.496,52.540,52.455,52.505,358835,52.808,52.518,52.499,-0.23,-0.21,-0.02,0.00
03.01.2018,13:30:00,52.510,52.510,52.390,52.435,260669,52.780,52.501,52.483,-0.23,-0.22,-0.01,0.00
03.01.2018,13:45:00,52.440,52.450,52.310,52.326,305467,52.746,52.466,52.450,-0.23,-0.22,-0.01,0.00
03.01.2018,14:00:00,52.325,52.335,52.200,52.310,353037,52.714,52.435,52.406,-0.23,-0.22,-0.01,0.00
03.01.2018,14:15:00,52.305,52.335,52.230,52.290,312909,52.683,52.406,52.290,-0.23,-0.22,-0.00,0.00
03.01.2018,14:30:00,52.290,52.300,52.190,52.205,344346,52.647,52.366,52.267,-0.23,-0.22,-0.01,0.00
